MIC,Ticker,Company name,Market capital size (in millions)
XNYS,SWX,"Southwest Gas Holdings Inc",5140.32
XNYS,HPQ,"HP Inc",23200.04
XNYS,SYK,"Stryker Corp",146224.99
XNYS,SYY,"Sysco Corp",35760.13
XNYS,TDW,"Tidewater Inc",2089.38
XNYS,TDS,"Telephone and Data Systems Inc",3718.25
XNYS,TEX,"Terex Corp",3033.58
XNYS,ASB,"Associated Banc-Corp",3797.04
XNYS,BF.B,"Brown-Forman Corp",8271.46
XNYS,TGT,"Target Corp",42492.30
XNYS,WELL,"Welltower Inc",100074.21
XNGS,ANDE,"Andersons Inc",1169.22
XNYS,TGI,"Triumph Group Inc",2008.93
XNYS,TT,"Trane Technologies PLC",96080.62
XNYS,HD,"Home Depot Inc",367407.01
XNMS,GDEN,"Golden Entertainment Inc",708.20
XNYS,THS,"TreeHouse Foods Inc",1102.92
XNYS,IR,"Ingersoll Rand Inc",33031.49
XNGS,ANSS,"ANSYS Inc",29746.43
XNYS,TJX,"TJX Companies Inc",142095.96
XNGS,AOSL,"Alpha and Omega Semiconductor Ltd",670.66
XNYS,HES,"Hess Corp",41153.66
XNYS,RNGR,"Ranger Energy Services Inc",261.65
XNYS,TXT,"Textron Inc",13450.14
XNYS,HI,"Hillenbrand Inc",1400.62
XNYS,UHS,"Universal Health Services Inc",10958.13
XNYS,HIG,"Hartford Insurance Group Inc",36376.55
XNMS,FLGT,"Fulgent Genetics Inc",633.84
XNYS,UTI,"Universal Technical Institute Inc",1905.31
XNYS,USNA,"USANA Health Sciences Inc",541.37
XNYS,CARS,"Cars.com Inc",647.35
XNYS,VGR,"Vector Group Ltd",2359.06
XNYS,UVV,"Universal Corp",1496.28
XNYS,GS,"Goldman Sachs Group Inc",185908.90
XNYS,VMC,"Vulcan Materials Co",35095.94
XNGS,GT,"Goodyear Tire & Rubber Co",3074.17
XNGS,WDC,"Western Digital Corp",19205.75
XNYS,GTY,"Getty Realty Corp",1598.39
XNYS,WHR,"Whirlpool Corp",4563.92
XNYS,WMB,"Williams Companies Inc",73845.00
XNYS,WWW,"Wolverine World Wide Inc",1395.58
XNGS,ARWR,"Arrowhead Pharmaceuticals Inc",2273.13
XNYS,WTS,"Watts Water Technologies Inc",6602.99
XNGS,MGNI,"Magnite Inc",2463.79
XNYS,HAE,"Haemonetics Corp",3381.80
XNYS,ASGN,"ASGN Inc",2306.37
XNGS,ASML,"ASML Holding NV",294490.84
XNYS,HCC,"Warrior Met Coal Inc",2448.74
XNGS,ALKT,"Alkami Technology Inc",3135.93
XNYS,LMT,"Lockheed Martin Corp",112000.49
XNYS,GM,"General Motors Co",45427.79
XNGS,ATEC,"Alphatec Holdings Inc",1818.39
XNGS,CHX,"ChampionX Corp",4651.91
XNYS,GNK,"Genco Shipping & Trading Ltd",573.94
XNMS,ATRC,"AtriCure Inc",1726.23
XNYS,CBT,"Cabot Corp",4026.54
XNYS,GPC,"Genuine Parts Co",17509.70
XNGS,ATRO,"Astronics Corp",1143.98
XNYS,GPN,"Global Payments Inc",18539.76
XNGS,ATSG,"Air Transport Services Group Inc",1481.55
XNGS,FTDR,"Frontdoor Inc",4190.71
XNYS,SEE,"Sealed Air Corp",4677.77
XNGS,AVAV,"AeroVironment Inc",5265.35
XNGS,AVGO,"Broadcom Inc",1222177.53
XNYS,DFH,"Dream Finders Homes Inc",803.26
XNYS,PRMW,"Primo Water Corp",3892.83
XNYS,GFF,"Griffon Corp",3300.75
XNYS,CALX,"Calix Inc",3080.91
XNYS,DD,"Dupont De Nemours Inc",28211.00
XNGS,BCRX,"BioCryst Pharmaceuticals Inc",2297.57
XNYS,SKT,"Tanger Inc",3318.25
XNYS,FUL,"H.B. Fuller Company",3020.16
XNGS,BECN,"Beacon Roofing Supply Inc",7719.25
XNYS,GBX,"Greenbrier Companies Inc",1420.68
XNYS,GD,"General Dynamics Corp",73653.28
XNYS,BHLB,"Berkshire Hills Bancorp Inc",1138.81
XNYS,GE,"General Electric Co",268644.12
XNYS,YUM,"Yum! Brands Inc",39715.57
XNGS,BIIB,"Biogen Inc",19101.37
XNYS,BRBR,"Bellring Brands Inc",7828.08
XNYS,NE,"Noble Corporation PLC",4199.82
XNYS,FN,"Fabrinet",8499.75
XNYS,PRIM,"Primoris Services Corp",3979.41
XNYS,MWA,"Mueller Water Products Inc",3818.23
XNGS,BJRI,"BJ's Restaurants Inc",968.23
XNYS,FOR,"Forestar Group Inc",1002.25
XNGS,BLKB,"Blackbaud Inc",3078.45
XNYS,MCK,"McKesson Corp",89029.87
XNYS,FRT,"Federal Realty Investment Trust",8103.64
XNYS,KBH,"KB Home",3798.29
XNYS,AAP,"Advance Auto Parts Inc",3135.31
XNYS,AVA,"Avista Corp",2996.96
XNYS,OII,"Oceaneering International Inc",2019.94
XNYS,FSS,"Federal Signal Corp",6059.08
XNYS,MCO,"Moody's Corp",87708.45
XNYS,PKG,"Packaging Corp of America",17519.11
XNYS,CRM,"Salesforce Inc",255385.84
XNYS,AX,"Axos Financial Inc",3925.26
XNYS,AVB,"AvalonBay Communities Inc",28896.56
XNYS,FCF,"First Commonwealth Financial Corp",1616.06
XNYS,GRND,"Grindr Inc",4556.27
XNYS,FCX,"Freeport-McMoRan Inc",59875.19
XNYS,EVRI,"Everi Holdings Inc",1230.75
XNYS,AMR,"Alpha Metallurgical Resources Inc",1404.99
XNYS,BOOT,"Boot Barn Holdings Inc",5090.67
XNYS,FDS,"Factset Research Systems Inc",16373.40
XNYS,FDP,"Fresh Del Monte Produce Inc",1570.60
XNGS,AVPT,"AvePoint Inc",3851.27
XNYS,FE,"FirstEnergy Corp",23507.57
XNGS,BRKL,"Brookline Bancorp Inc",912.43
XNYS,RSI,"Rush Street Interactive Inc",1221.98
XNYS,DXC,"DXC Technology Co",2807.82
XNYS,NAPA,"Duckhorn Portfolio Inc",1632.45
XNYS,FIX,"Comfort Systems USA Inc",17606.73
XNYS,ABT,"Abbott Laboratories",233033.70
XNYS,FL,"Foot Locker Inc",2281.14
XNGS,BUSE,"First Busey Corp",1989.37
XNGS,ACT,"Enact Holdings Inc",5159.28
XNYS,FMC,"FMC Corp",5233.70
XNYS,ETN,"Eaton Corporation PLC",127751.62
XNYS,LW,"Lamb Weston Holdings Inc",7795.23
XNYS,ETR,"Entergy Corp",35237.32
XNYS,MCY,"Mercury General Corp",3572.57
XNYS,SMR,"Nuscale Power Corp",4141.65
XNYS,CADE,"Cadence Bank",5484.85
XNGS,EXC,"Exelon Corp",43268.70
XNYS,ZETA,"Zeta Global Holdings Corp",2176.99
XNYS,EW,"Edwards Lifesciences Corp",45619.88
XNYS,EFC,"Ellington Financial Inc",1188.03
XNYS,EXR,"Extra Space Storage Inc",31710.67
XNYS,ENVA,"Enova International Inc",2384.22
XNGS,CAKE,"Cheesecake Factory Inc",2808.24
XNYS,ORA,"Ormat Technologies Inc",4553.03
XNGS,CALM,"Cal-Maine Foods Inc",4639.43
XNYS,PPL,"PPL Corp",25208.90
XNCM,GDYN,"Grid Dynamics Holdings Inc",1010.34
XNYS,FBP,"First BanCorp",3209.85
XNGS,PLTR,"Palantir Technologies Inc",271345.09
XNGS,CATY,"Cathay General Bancorp",3051.20
XNYS,ENR,"Energizer Holdings Inc",1591.85
XNYS,MKC,"McCormick & Company Inc",18423.03
XNGS,CMPR,"Cimpress PLC",1122.78
XNYS,ENS,"EnerSys",3354.02
XNYS,EOG,"EOG Resources Inc",60598.73
XNYS,ED,"Consolidated Edison Inc",36847.48
BATS,CBOE,"Cboe Global Markets Inc",23324.90
XNGS,GEHC,"GE Healthcare Technologies Inc",32761.67
XNYS,NJR,"New Jersey Resources Corp",4481.59
XNYS,UTZ,"UTZ Brands Inc",1179.05
XNGS,CBRL,"Cracker Barrel Old Country Store Inc",1194.18
XNYS,RHI,"Robert Half Inc",4451.28
XNGS,SILK,"Silk Road Medical Inc",1117.38
XNYS,ES,"Eversource Energy",23990.23
XNGS,CCOI,"Cogent Communications Holdings Inc",2339.08
XNGS,WBA,"Walgreens Boots Alliance Inc",9728.30
XNGS,CCRN,"Cross Country Healthcare Inc",424.54
XNYS,ESS,"Essex Property Trust Inc",17908.09
XNGS,CDNS,"Cadence Design Systems Inc",80899.61
XNYS,PRA,"ProAssurance Corp",1187.93
XNYS,DY,"Dycom Industries Inc",6878.04
XNYS,NKE,"Nike Inc",74028.26
XNYS,EAT,"Brinker International Inc",7526.91
XNYS,IONQ,"IONQ Inc",8927.94
XNYS,ECL,"Ecolab Inc",75710.04
XNYS,EMN,"Eastman Chemical Co",9045.15
XNYS,RJF,"Raymond James Financial Inc",28933.62
XNGS,CENX,"Century Aluminum Co",1839.94
XNYS,SOI,"Solaris Oilfield Infrastructure Inc",343.95
XNYS,SBOW,"SilverBow Resources Inc",940.62
XNYS,EMR,"Emerson Electric Co",68906.25
XNGS,CEVA,"CEVA Inc",476.77
XNYS,JBT,"John Bean Technologies Corp",3991.16
XNYS,MDT,"Medtronic PLC",111581.28
XNMS,CMPO,"CompoSecure Inc",1400.73
XNYS,PLOW,"Douglas Dynamics Inc",638.49
XNYS,OUT,"OUTFRONT Media Inc",2721.63
XNYS,EL,"Estee Lauder Companies Inc",15797.46
XNYS,KEY,"KeyCorp",17425.48
XNGS,CSX,"CSX Corp",59625.05
XNYS,CCL,"Carnival Corp",28021.90
XNYS,DPZ,"Domino's Pizza Inc",14488.58
XNGS,CHRW,"CH Robinson Worldwide Inc",11339.96
XNYS,AWK,"American Water Works Co Inc",27305.53
XNGS,IMVT,"Immunovant Inc",2738.19
XNGS,CHTR,"Charter Communications Inc",54920.31
XNMS,HROW,"Harrow Inc",1053.60
XNYS,CDP,"COPT Defense Properties",3096.32
XNYS,DRQ,"Dril-Quip Inc",531.25
XNGS,CINF,"Cincinnati Financial Corp",23425.22
XNYS,DUK,"Duke Energy Corp",89959.74
XNYS,DVA,"DaVita Inc",10399.37
XNGS,QRVO,"Qorvo Inc",7267.13
XNYS,ATGE,"Adtalem Global Education Inc",4764.31
XNYS,DVN,"Devon Energy Corp",20174.78
XNCM,CLDX,"Celldex Therapeutics Inc",1296.48
XNMS,CLFD,"Clearfield Inc",537.06
XNYS,DX,"Dynex Capital Inc",1296.69
XNYS,CVS,"CVS Health Corp",79797.43
XNYS,DE,"Deere & Co",138324.92
XNYS,GVA,"Granite Construction Inc",3965.27
XNYS,DEI,"Douglas Emmett Inc",2412.90
XNGS,CME,"CME Group Inc",99061.89
XNYS,SLVM,"Sylvamo Corp",2167.67
XNGS,CMCO,"Columbus McKinnon Corp",425.19
XNYS,CWH,"Camping World Holdings Inc",1111.86
XNYS,AEE,"Ameren Corp",25952.20
XNYS,DFS,"Discover Financial Services",50343.26
XNYS,DG,"Dollar General Corp",25052.84
XNCM,RDVT,"Red Violet Inc",646.58
XNYS,DGX,"Quest Diagnostics Inc",19385.50
XNYS,DHI,"DR Horton Inc",37703.43
XNYS,MOH,"Molina Healthcare Inc",15910.95
XNYS,DHT,"DHT Holdings Inc",1858.23
XNMS,MIRM,"Mirum Pharmaceuticals Inc",2211.72
XNYS,DK,"Delek US Holdings Inc",1161.11
XNYS,ALE,"ALLETE Inc",3777.55
XNYS,DLR,"Digital Realty Trust Inc",59244.99
XNYS,DFIN,"Donnelley Financial Solutions Inc",1542.80
XNMS,TMDX,"Transmedics Group Inc",4586.23
XNYS,ASIX,"AdvanSix Inc",632.51
XNYS,BKH,"Black Hills Corp",4149.71
XNGS,COHU,"Cohu Inc",833.79
XNYS,MOS,"Mosaic Co",11547.20
XNGS,PWP,"Perella Weinberg Partners",1103.92
XNYS,VRE,"Veris Residential Inc",1397.02
XNGS,COKE,"Coca-Cola Consolidated Inc",818.90
XNYS,CWT,"California Water Service Group",2731.29
XNYS,ALEX,"Alexander & Baldwin Inc (Hawaii)",1311.72
XNCM,CORT,"Corcept Therapeutics Inc",7318.14
XNYS,ETD,"Ethan Allen Interiors Inc",661.69
XNYS,CXW,"CoreCivic Inc",2357.82
XNYS,DAN,"Dana Inc",2400.33
XNCM,CPRX,"Catalyst Pharmaceuticals Inc",3093.29
XNGS,CPRT,"Copart Inc",48482.18
XNYS,ALK,"Alaska Air Group Inc",6224.74
XNYS,AEO,"American Eagle Outfitters Inc",1756.79
XNCM,ACIC,"American Coastal Insurance Corp",529.95
XNYS,IGT,"International Game Technology PLC",2947.64
XNYS,DOV,"Dover Corp",24300.38
XNYS,PAR,"PAR Technology Corp",2647.32
XNYS,MPLN,"Claritev Corp",375.47
XNYS,BBW,"Build-A-Bear Workshop Inc",612.23
XNYS,PNM,"PNM Resources Inc",3765.87
XNYS,CRK,"Comstock Resources Inc",7097.40
XNYS,EIX,"Edison International",20638.72
XNYS,CRS,"Carpenter Technology Corp",12298.48
XNYS,NEM,"Newmont Corporation",60669.46
XNYS,CRL,"Charles River Laboratories International Inc",6935.14
XNYS,PNR,"Pentair PLC",16404.99
XNYS,ZWS,"Zurn Elkay Water Solutions Corp",6100.83
XNYS,AES,"AES Corp",7482.31
XNYS,GBCI,"Glacier Bancorp Inc",4709.86
XNYS,BBY,"Best Buy Co Inc",14915.36
XNGS,CSGS,"Csg Systems International Inc",1828.44
XNGS,CSGP,"CoStar Group Inc",32991.54
XNYS,PHR,"Phreesia Inc",1534.02
XNYS,CVI,"CVR Energy Inc",2334.32
XNYS,CVX,"Chevron Corp",239081.33
XNMS,GAMB,"Gambling.com Group Ltd",400.82
XNGS,CTAS,"Cintas Corp",91619.26
XNYS,CNK,"Cinemark Holdings Inc",3629.77
XNYS,AFL,"Aflac Inc",55259.33
XNYS,DAL,"Delta Air Lines Inc",31890.23
XNYS,CNX,"CNX Resources Corp",4509.56
XNYS,BCO,"Brinks Co",3501.96
XNYS,CPB,"Campbell Soup Co",14659.00
XNYS,ALLE,"Allegion PLC",11894.59
XNGS,CTSH,"Cognizant Technology Solutions Corp",39100.16
XNGS,CVBF,"CVB Financial Corp",2561.79
XNYS,HAL,"Halliburton Co",17151.31
XNGS,CVLT,"Commvault Systems Inc",8258.96
XNGS,CVGW,"Calavo Growers Inc",474.63
XNYS,AVY,"Avery Dennison Corp",13893.36
XNYS,APTV,"Aptiv PLC",14256.99
XNYS,CCI,"Crown Castle Inc",43667.81
XNMS,GCMG,"GCM Grosvenor Inc",626.93
XNYS,GOLF,"Acushnet Holdings Corp",4155.36
XNGS,MRNA,"Moderna Inc",10101.70
XNYS,CHD,"Church & Dwight Co Inc",24378.99
XNYS,CI,"Cigna Group",83086.69
XNGS,CWST,"Casella Waste Systems Inc",7195.27
XNYS,AIG,"American International Group Inc",49230.13
XNYS,CL,"Colgate-Palmolive Co",73059.37
XNYS,BHE,"Benchmark Electronics Inc",1350.70
XNYS,CLX,"Clorox Co",15690.08
XNYS,CLW,"Clearwater Paper Corp",477.92
XNYS,CMA,"Comerica Inc",7554.92
XNGS,CYTK,"Cytokinetics Inc",3831.23
XNYS,IIPR,"Innovative Industrial Properties Inc",1534.46
XNYS,CMG,"Chipotle Mexican Grill Inc",70871.35
XNYS,AMRC,"Ameresco Inc",513.86
XNYS,CMP,"Compass Minerals International Inc",838.80
XNGS,DAKT,"Daktronics Inc",676.05
XNYS,KMI,"Kinder Morgan Inc",62751.22
XNYS,AVNT,"Avient Corp",3325.38
XNYS,CIM,"Chimera Investment Corp",1097.15
XNYS,IRM,"Iron Mountain Inc",29882.05
XNGS,DCOM,"Dime Community Bancshares Inc",1131.40
XNYS,CNO,"CNO Financial Group Inc",3753.49
XNYS,CE,"Celanese Corp",5964.89
XNYS,BOX,"Box Inc",5492.72
XNYS,MTB,"M&T Bank Corp",28878.44
XNYS,CF,"CF Industries Holdings Inc",15644.86
XNGS,DGII,"Digi International Inc",1238.40
XNYS,FDX,"FedEx Corp",51928.27
XNYS,MPC,"Marathon Petroleum Corp",48604.30
XNGS,PI,"Impinj Inc",3351.61
XNGS,DIOD,"Diodes Inc",2202.67
XNYS,GEO,"Geo Group Inc",3703.18
XNYS,CMC,"Commercial Metals Co",5529.12
XNYS,GES,"Guess? Inc",571.60
XNYS,STR,"Sitio Royalties Corp",1506.94
XNYS,IPG,"Interpublic Group of Companies Inc",8378.19
XNYS,ORCL,"Oracle Corp",478671.05
XNYS,PFS,"Provident Financial Services Inc",2153.26
XNGS,DLTR,"Dollar Tree Inc",20174.62
XNYS,CMI,"Cummins Inc",44511.36
XNCM,SMLR,"Semler Scientific Inc",363.99
XNGS,DMRC,"Digimarc Corp",297.63
XNYS,PSX,"Phillips 66",45726.68
XNMS,ARCT,"Arcturus Therapeutics Holdings Inc",323.01
XNGS,DORM,"Dorman Products Inc",3875.22
XNGS,ACLX,"Arcellx Inc",3650.82
XNYS,RVLV,"Revolve Group Inc",911.62
XNYS,XYL,"Xylem Inc",30822.84
XNYS,MAS,"Masco Corp",13356.85
XNYS,ZTS,"Zoetis Inc",75066.53
XNGS,DXCM,"Dexcom Inc",33619.30
XNYS,BWA,"Borgwarner Inc",7066.20
XNYS,INST,"Instructure Holdings Inc",3471.31
XNYS,ARR,"ARMOUR Residential REIT Inc",1351.32
XNYS,GNRC,"Generac Holdings Inc",7463.78
XNGS,ECPG,"Encore Capital Group Inc",869.76
XNYS,LMND,"Lemonade Inc",2620.00
XNCM,EGBN,"Eagle Bancorp Inc",510.34
XNYS,CAG,"Conagra Brands Inc",10626.09
XNGS,ODP,"ODP Corp",541.48
XNYS,DRI,"Darden Restaurants Inc",25167.66
XNYS,DTE,"DTE Energy Co",27537.61
XNYS,LLY,"Eli Lilly and Co",725662.23
XNYS,TWO,"Two Harbors Investment Corp",1106.83
XNGS,ENSG,"Ensign Group Inc",8721.02
XNYS,BMI,"Badger Meter Inc",7309.43
XNYS,MRK,"Merck & Co Inc",194906.25
XNYS,EQR,"Equity Residential",26010.94
XNGS,EQIX,"Equinix Inc",88989.85
XNYS,VVX,"V2X Inc",1409.64
XNYS,MRO,"Marathon Oil Corp",15959.98
XNGS,ARQT,"Arcutis Biotherapeutics Inc",1610.42
XNGS,ERII,"Energy Recovery Inc",679.06
XNGS,NUVL,"Nuvalent Inc",5183.11
XNYS,CMS,"CMS Energy Corp",20741.24
XNMS,RXST,"Rxsight Inc",606.30
XNGS,CHRD,"Chord Energy Corp",5313.44
XNGS,BASE,"Couchbase Inc",1052.48
XNYS,NSC,"Norfolk Southern Corp",55666.51
XNYS,HRL,"Hormel Foods Corp",16887.26
XNYS,MSCI,"MSCI Inc",43642.94
XNGS,EXLS,"Exlservice Holdings Inc",7653.14
XNGS,EXPE,"Expedia Group Inc",21082.56
XNYS,CNNE,"Cannae Holdings Inc",1207.36
XNYS,AWR,"American States Water Co",2969.80
XNGS,EXTR,"Extreme Networks Inc",2178.62
XNGS,EXPO,"Exponent Inc",3915.98
XNYS,EFX,"Equifax Inc",33061.78
XNYS,IEX,"IDEX Corp",13619.18
XNGS,FARO,"FARO Technologies Inc",815.58
XNGS,FAST,"Fastenal Co",23713.48
XNYS,ADM,"Archer-Daniels-Midland Co",22571.54
XNGS,ADEA,"Adeia Inc",1443.05
XNGS,LIVN,"LivaNova PLC",2445.48
XNYS,KMB,"Kimberly-Clark Corp",47728.42
XNYS,BMY,"Bristol-Myers Squibb Co",97358.27
XNYS,AMP,"Ameriprise Financial Inc",48410.25
XNYS,LHX,"L3Harris Technologies Inc",45252.06
XNGS,FCFS,"Firstcash Holdings Inc",5504.31
XNYS,PGR,"Progressive Corp",164259.86
XNYS,CNC,"Centene Corp",27288.55
XNYS,BOH,"Bank of Hawaii Corp",2618.52
XNMS,HRMY,"Harmony Biosciences Holdings Inc",2011.57
XNGS,FELE,"Franklin Electric Co Inc",3907.11
XNYS,MSI,"Motorola Solutions Inc",69457.00
XNMS,KYMR,"Kymera Therapeutics Inc",3103.60
XNGS,ZYME,"Zymeworks Inc",843.97
XNGS,FFBC,"First Financial Bancorp",2240.23
XNCM,OSW,"Onespaworld Holdings Ltd",1956.38
XNYS,JNPR,"Juniper Networks Inc",11974.24
XNGS,SGRY,"Surgery Partners Inc",2969.47
XNYS,HTH,"Hilltop Holdings Inc",1878.46
XNGS,FFIC,"Flushing Financial Corp",397.56
XNGS,FFIV,"F5 Inc",16882.58
XNGS,FFIN,"First Financial Bankshares Inc",5089.73
XNGS,FIBK,"First Interstate Bancsystem Inc",2852.93
XNYS,GIS,"General Mills Inc",30069.66
XNYS,AMT,"American Tower Corp",101220.85
XNGS,FITB,"Fifth Third Bancorp",25564.95
XNYS,PVH,"PVH Corp",3187.25
XNYS,SPXC,"SPX Technologies Inc",7297.41
XNGS,FORM,"FormFactor Inc",2481.10
XNYS,DOW,"Dow Inc",19919.36
XNGS,SNEX,"StoneX Group Inc",4084.54
XNGS,FRME,"First Merchants Corp",2131.12
XNYS,CEIX,"Core Natural Resources Inc",2925.93
XNYS,GPOR,"Gulfport Energy Corp",3349.73
XNGS,FTNT,"Fortinet Inc",79220.60
XNGS,FULT,"Fulton Financial Corp",3092.32
XNYS,SQSP,"Squarespace Inc",4243.72
XNGS,OPCH,"Option Care Health Inc",5267.75
XNGS,FWRD,"Forward Air Corp",565.87
XNGS,INVA,"Innoviva Inc",1328.95
XNGS,ASTS,"AST SpaceMobile Inc",7356.17
XNYS,RNST,"Renasant Corp",3292.11
XNGS,PEP,"PepsiCo Inc",179762.24
XNYS,PWSC,"PowerSchool Holdings Inc",4663.47
XNGS,GIII,"G-III Apparel Group Ltd",1214.25
XNGS,ALHC,"Alignment Healthcare Inc",2926.10
XNYS,VZIO,"Vizio Holding Corp",1446.60
XNGS,GLDD,"Great Lakes Dredge & Dock Corp",782.51
XNGS,GLNG,"Golar LNG Ltd",4371.64
XNCM,THRY,"Thryv Holdings Inc",589.15
XNGS,NWE,"NorthWestern Energy Group Inc",3226.11
XNGS,AVO,"Mission Produce Inc",746.25
XNGS,AEP,"American Electric Power Company Inc",54365.03
XNGS,GOOD,"Gladstone Commercial Corp",666.01
XNYS,DOLE,"Dole PLC",1308.15
XNGS,DUOL,"Duolingo Inc",20532.92
XNYS,MLNK,"MeridianLink Inc",1301.43
XASE,GSAT,"Globalstar Inc",44182.24
XNGS,PGNY,"Progyny Inc",1830.94
XNGS,ASO,"Academy Sports and Outdoors Inc",2853.99
XNGS,BEAM,"Beam Therapeutics Inc",1709.47
XNGS,SDGR,"Schrodinger Inc",1530.83
XNGS,PTVE,"Pactiv Evergreen Inc",3254.96
XNGS,HA,"Hawaiian Holdings Inc",935.66
XNGS,HALO,"Halozyme Therapeutics Inc",6598.48
XNGS,HAS,"Hasbro Inc",9133.63
XNGS,HBAN,"Huntington Bancshares Inc",22992.27
XNGS,HAYN,"Haynes International Inc",779.89
XNGS,HWC,"Hancock Whitney Corp",4559.64
XNGS,HCKT,"Hackett Group Inc",678.94
XNGS,HCSG,"Healthcare Services Group Inc",1031.80
XNGS,HELE,"Helen of Troy Ltd",641.02
XNGS,HEES,"H&E Equipment Services Inc",3470.13
XNGS,HFWA,"Heritage Financial Corp",777.95
XNGS,HIBB,"Hibbett Inc",1045.45
XNYS,TPR,"Tapestry Inc",16453.21
XNYS,LYV,"Live Nation Entertainment Inc",33382.09
XNYS,ATO,"Atmos Energy Corp",24198.80
XNYS,ARE,"Alexandria Real Estate Equities Inc",12031.38
XNCM,HNRG,"Hallador Energy Co",722.43
XNYS,BSX,"Boston Scientific Corp",152131.47
XNYS,ATI,"ATI Inc",11674.75
XNMS,APPF,"Appfolio Inc",4973.61
XNGS,ALRM,"Alarm.com Holdings Inc",2873.10
XNGS,HOLX,"Hologic Inc",14054.85
XNYS,COF,"Capital One Financial Corp",73562.41
XNYS,GKOS,"Glaukos Corp",5296.36
XNGS,HSIC,"Henry Schein Inc",8577.58
XNYS,GLW,"Corning Inc",43560.14
XNGS,AMD,"Advanced Micro Devices Inc",187580.25
XNGS,HSTM,"HealthStream Inc",863.87
XNYS,AOS,"A O Smith Corp",7416.05
XNYS,BRO,"Brown & Brown Inc",31535.43
XNGS,HTLF,"Heartland Financial USA Inc",2779.84
XNGS,HUBG,"Hub Group Inc",2025.15
XNGS,HURN,"Huron Consulting Group Inc",2450.77
XNYS,MTX,"Minerals Technologies Inc",1833.80
XNYS,MTW,"Manitowoc Company Inc",384.21
XNYS,JOE,"St Joe Co",2638.05
XNYS,AON,"Aon PLC",80003.58
XNYS,FLR,"Fluor Corp",7072.35
XNYS,HUM,"Humana Inc",27416.73
XNYS,BIO,"Bio Rad Laboratories Inc",4856.05
XNGS,IDCC,"InterDigital Inc",5874.93
XNYS,CLB,"Core Laboratories Inc",514.31
XNGS,IDXX,"IDEXX Laboratories Inc",41997.13
XNYS,AKR,"Acadia Realty Trust",2507.90
XNYS,DLX,"Deluxe Corp",650.07
XNYS,NOC,"Northrop Grumman Corp",70254.23
XNYS,ENV,"Envestnet Inc",3493.99
XNGS,INMD,"Inmode Ltd",906.42
XNGS,ILMN,"Illumina Inc",13020.18
XNYS,DIN,"Dine Brands Global Inc",375.02
XNYS,TGNA,"Tegna Inc",2592.34
XNYS,ZBH,"Zimmer Biomet Holdings Inc",18186.18
XNGS,INCY,"Incyte Corp",13015.64
XNYS,MMS,"Maximus Inc",3948.97
XNGS,INDB,"Independent Bank Corp (Massachusetts)",2640.22
XNYS,DHR,"Danaher Corp",137515.91
XNMS,INOD,"Innodata Inc",1448.86
XNGS,INSM,"Insmed Inc",13248.79
XNMS,PTGX,"Protagonist Therapeutics Inc",3335.87
XNYS,INSW,"International Seaways Inc",1858.08
XNYS,EPC,"Edgewell Personal Care Co",1258.04
XNYS,PRU,"Prudential Financial Inc",36720.42
XNGS,INTU,"Intuit Inc",213851.93
XNYS,UE,"Urban Edge Properties",2321.34
XNYS,MMC,"Marsh & McLennan Companies Inc",112765.68
XNYS,HOMB,"Home BancShares Inc",5497.40
XNYS,SPNT,"Siriuspoint Ltd",2245.50
XNGS,IPAR,"Interparfums Inc",4390.07
XNYS,CNMD,"Conmed Corp",1751.82
XNGS,IPGP,"IPG Photonics Corp",2911.07
XNYS,WRK,"WestRock Co",13238.07
XNYS,AIR,"AAR Corp",2393.32
XNYS,KNF,"Knife River Corp",5225.05
XNGS,MDGL,"Madrigal Pharmaceuticals Inc",6085.92
XNGS,HLNE,"Hamilton Lane Inc",6232.27
XNGS,DNLI,"Denali Therapeutics Inc",2065.83
XNYS,FIS,"Fidelity National Information Services Inc",42315.32
XNYS,JXN,"Jackson Financial Inc",5840.10
XNYS,JNJ,"Johnson & Johnson",369717.22
XNYS,HSY,"Hershey Co",24089.86
XNYS,CNP,"CenterPoint Energy Inc",24039.99
XNGS,ISRG,"Intuitive Surgical Inc",200018.89
XNYS,LTC,"LTC Properties Inc",1600.22
XNGS,KHC,"Kraft Heinz Co",31505.89
XNGS,ITRI,"Itron Inc",5448.23
XNYS,KGS,"Kodiak Gas Services Inc",3231.41
XNYS,FIHL,"Fidelis Insurance Holdings Ltd",1949.05
XNGS,JACK,"Jack in the Box Inc",367.21
XNGS,RELY,"Remitly Global Inc",4256.57
XNGS,JBHT,"J B Hunt Transport Services Inc",13799.95
XNGS,JKHY,"Jack Henry & Associates Inc",13180.42
XNGS,STER,"Sterling Check Corp",1641.32
XNYS,APG,"APi Group Corp",13257.87
XNYS,LOB,"Live Oak Bancshares Inc",1243.73
XNGS,KELYA,"Kelly Services Inc",372.90
XNGS,UPWK,"Upwork Inc",1985.69
XNYS,COP,"ConocoPhillips",107896.51
XNYS,IVT,"Inventrust Properties Corp",2142.42
XNYS,EPAC,"Enerpac Tool Group Corp",2317.54
XNGS,KLIC,"Kulicke and Soffa Industries Inc",1736.11
XNGS,KLAC,"KLA Corp",104720.67
XNGS,GH,"Guardant Health Inc",5997.42
XNMS,KROS,"Keros Therapeutics Inc",613.70
XNGS,FRSH,"Freshworks Inc",3770.65
